name,game system,army,quantity,status
Luke Skywalker - Tatooine,Star Wars - Legion,Rebellion,1,Printed
Darth Vader - Starter set,Star Wars - Legion,Galactic Empire,1,Painted
Rangers - Bows,Middle Earth Straegic Battle Game,Minas Tirith,8,Ready To Game
Rangers - Swords,Middle Earth Straegic Battle Game,Minas Tirith,8,Ready To Game
Rangers - Spears,Middle Earth Straegic Battle Game,Minas Tirith,8,Ready To Game
Guardians of the fountain court,Middle Earth Straegic Battle Game,Minas Tirith,9,Primed
Knights of Minas Tirith - Mounted,Middle Earth Straegic Battle Game,Minas Tirith,6,Painted
Warriors of Minas Tirith - Sword,Middle Earth Straegic Battle Game,Minas Tirith,8,Painted
Warriors of Minas Tirith - Spear,Middle Earth Straegic Battle Game,Minas Tirith,8,Painted
Warriors of Minas Tirith - Bows,Middle Earth Straegic Battle Game,Minas Tirith,8,Painted
Osgiliath Veterans - sword,Middle Earth Straegic Battle Game,Minas Tirith,10,Primed
Osgiilath Vetrans - bow,Middle Earth Straegic Battle Game,Minas Tirith,7,Primed
Borimir - mounted,Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Borimir - foot standard,Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Borimir - on foot,Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Farimir - ranger (metal),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Madril - Ranger (metal),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Damrod - Ranger (metl),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Minas Tirith Commanders,Middle Earth Straegic Battle Game,Minas Tirith,3,Primed
Denthorn(metal),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Aragorn (black gate mounted),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Aaragorn (black gate on foot),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Gandalf the white & Peregrin took (mounted),Middle Earth Straegic Battle Game,Minas Tirith,1,Primed
Gandalf the white & Peregrin took (on foot),Middle Earth Straegic Battle Game,Minas Tirith,2,Primed
Sauraman the white & Grima,Middle Earth Straegic Battle Game,Isenguard,4,Assembled
Uruk-Hai warriors - spears,Middle Earth Straegic Battle Game,Isenguard,10,Primed
Uruk-Hai warriors - swords,Middle Earth Straegic Battle Game,Isenguard,10,Primed
Uruk-Hai scouts -bows,Middle Earth Straegic Battle Game,Isenguard,8,Primed
Uruk-Hai scouts - swords and shields,Middle Earth Straegic Battle Game,Isenguard,8,Primed
Uruk-Hai scouts - swords,Middle Earth Straegic Battle Game,Isenguard,8,Primed
Morannon orcs - swords,Middle Earth Straegic Battle Game,Isenguard,18,Painted
Morannon orcs - spears,Middle Earth Straegic Battle Game,Isenguard,18,Painted
Warg,Middle Earth Straegic Battle Game,Mordor,6,Primed
